,benchmark_name,collector_name,iteration,timescale,units,measurements,duration,cuda_api_summary,gpu_kernel_summary,gpu_mem_size_summary,gpu_mem_time_summary,os_runtime_summary
0,AEFoam_8gpu_1node_4rank,NvidiaGpuTrace,0,1000,summary statistics,['cuda_api_summary'],3853.830914,"[{'Time(%)': '40.0', 'Total Time (ns)': '326161170952', 'Num Calls': '672516', 'Average (ns)': '484986.5', 'Minimum (ns)': '451', 'Maximum (ns)': '532740119', 'StdDev (ns)': '2690812.9', 'Name': 'cuEventRecord'}, {'Time(%)': '34.8', 'Total Time (ns)': '283402319189', 'Num Calls': '156867', 'Average (ns)': '1806640.8', 'Minimum (ns)': '3426', 'Maximum (ns)': '149417386', 'StdDev (ns)': '4369453.8', 'Name': 'cuMemcpyHtoDAsync_v2'}, {'Time(%)': '21.3', 'Total Time (ns)': '173487005258', 'Num Calls': '179351', 'Average (ns)': '967304.4', 'Minimum (ns)': '5039', 'Maximum (ns)': '53789045', 'StdDev (ns)': '3424246.5', 'Name': 'cuMemcpyDtoHAsync_v2'}, {'Time(%)': '1.1', 'Total Time (ns)': '8818442147', 'Num Calls': '1050956', 'Average (ns)': '8390.9', 'Minimum (ns)': '4208', 'Maximum (ns)': '388413742', 'StdDev (ns)': '548870.7', 'Name': 'cudaLaunchKernel'}, {'Time(%)': '1.0', 'Total Time (ns)': '8303732991', 'Num Calls': '169230', 'Average (ns)': '49067.7', 'Minimum (ns)': '2705', 'Maximum (ns)': '3372141', 'StdDev (ns)': '192533.6', 'Name': 'cuStreamSynchronize'}, {'Time(%)': '0.8', 'Total Time (ns)': '6523444074', 'Num Calls': '627410', 'Average (ns)': '10397.4', 'Minimum (ns)': '3467', 'Maximum (ns)': '503046382', 'StdDev (ns)': '989606.6', 'Name': 'cuLaunchKernel'}, {'Time(%)': '0.4', 'Total Time (ns)': '3603301880', 'Num Calls': '8', 'Average (ns)': '450412735.0', 'Minimum (ns)': '173302648', 'Maximum (ns)': '709354062', 'StdDev (ns)': '266023943.1', 'Name': 'cudaFree'}, {'Time(%)': '0.2', 'Total Time (ns)': '1583559338', 'Num Calls': '563912', 'Average (ns)': '2808.2', 'Minimum (ns)': '370', 'Maximum (ns)': '11057202', 'StdDev (ns)': '20166.1', 'Name': 'cuEventQuery'}, {'Time(%)': '0.2', 'Total Time (ns)': '1417060671', 'Num Calls': '1908', 'Average (ns)': '742694.3', 'Minimum (ns)': '3467', 'Maximum (ns)': '8584541', 'StdDev (ns)': '1261801.8', 'Name': 'cuModuleUnload'}, {'Time(%)': '0.1', 'Total Time (ns)': '564250198', 'Num Calls': '336218', 'Average (ns)': '1678.2', 'Minimum (ns)': '511', 'Maximum (ns)': '3045414', 'StdDev (ns)': '10253.7', 'Name': 'cuStreamWaitEvent'}, {'Time(%)': '0.1', 'Total Time (ns)': '449060534', 'Num Calls': '80968', 'Average (ns)': '5546.1', 'Minimum (ns)': '2855', 'Maximum (ns)': '311549', 'StdDev (ns)': '4905.2', 'Name': 'cuMemsetD32Async'}, {'Time(%)': '0.0', 'Total Time (ns)': '214684513', 'Num Calls': '56', 'Average (ns)': '3833652.0', 'Minimum (ns)': '829107', 'Maximum (ns)': '17525034', 'StdDev (ns)': '3659067.7', 'Name': 'cuModuleLoadData'}, {'Time(%)': '0.0', 'Total Time (ns)': '209088538', 'Num Calls': '128088', 'Average (ns)': '1632.4', 'Minimum (ns)': '400', 'Maximum (ns)': '3786284', 'StdDev (ns)': '38810.7', 'Name': 'cudaStreamGetCaptureInfo_v10010'}, {'Time(%)': '0.0', 'Total Time (ns)': '207599450', 'Num Calls': '32575', 'Average (ns)': '6373.0', 'Minimum (ns)': '2865', 'Maximum (ns)': '3796503', 'StdDev (ns)': '59990.9', 'Name': 'cudaEventQuery'}, {'Time(%)': '0.0', 'Total Time (ns)': '147811354', 'Num Calls': '10145', 'Average (ns)': '14569.9', 'Minimum (ns)': '10740', 'Maximum (ns)': '210618', 'StdDev (ns)': '4345.1', 'Name': 'cudaMemcpyAsync'}, {'Time(%)': '0.0', 'Total Time (ns)': '119045970', 'Num Calls': '32575', 'Average (ns)': '3654.5', 'Minimum (ns)': '971', 'Maximum (ns)': '3351553', 'StdDev (ns)': '54488.5', 'Name': 'cudaEventRecord'}, {'Time(%)': '0.0', 'Total Time (ns)': '87222325', 'Num Calls': '30', 'Average (ns)': '2907410.8', 'Minimum (ns)': '975213', 'Maximum (ns)': '11133567', 'StdDev (ns)': '2097283.5', 'Name': 'cuMemAlloc_v2'}, {'Time(%)': '0.0', 'Total Time (ns)': '15924034', 'Num Calls': '2984', 'Average (ns)': '5336.5', 'Minimum (ns)': '150', 'Maximum (ns)': '14022807', 'StdDev (ns)': '256696.0', 'Name': 'cuGetProcAddress'}, {'Time(%)': '0.0', 'Total Time (ns)': '9783816', 'Num Calls': '4', 'Average (ns)': '2445954.0', 'Minimum (ns)': '2250092', 'Maximum (ns)': '2655147', 'StdDev (ns)': '177057.0', 'Name': 'cuMemHostAlloc'}, {'Time(%)': '0.0', 'Total Time (ns)': '5297427', 'Num Calls': '16', 'Average (ns)': '331089.2', 'Minimum (ns)': '1623', 'Maximum (ns)': '1477231', 'StdDev (ns)': '584056.4', 'Name': 'cuStreamCreate'}, {'Time(%)': '0.0', 'Total Time (ns)': '4520409', 'Num Calls': '12', 'Average (ns)': '376700.8', 'Minimum (ns)': '10028', 'Maximum (ns)': '993768', 'StdDev (ns)': '311840.4', 'Name': 'cudaMalloc'}, {'Time(%)': '0.0', 'Total Time (ns)': '1260775', 'Num Calls': '40', 'Average (ns)': '31519.4', 'Minimum (ns)': '4709', 'Maximum (ns)': '159752', 'StdDev (ns)': '40696.8', 'Name': 'cuEventSynchronize'}, {'Time(%)': '0.0', 'Total Time (ns)': '1020723', 'Num Calls': '68', 'Average (ns)': '15010.6', 'Minimum (ns)': '360', 'Maximum (ns)': '922924', 'StdDev (ns)': '111767.8', 'Name': 'cuEventCreate'}, {'Time(%)': '0.0', 'Total Time (ns)': '795032', 'Num Calls': '4', 'Average (ns)': '198758.0', 'Minimum (ns)': '118775', 'Maximum (ns)': '282553', 'StdDev (ns)': '69840.6', 'Name': 'cuMemGetInfo_v2'}, {'Time(%)': '0.0', 'Total Time (ns)': '96102', 'Num Calls': '4', 'Average (ns)': '24025.5', 'Minimum (ns)': '18575', 'Maximum (ns)': '33193', 'StdDev (ns)': '6548.6', 'Name': 'cuMemsetD32_v2'}, {'Time(%)': '0.0', 'Total Time (ns)': '85884', 'Num Calls': '12', 'Average (ns)': '7157.0', 'Minimum (ns)': '1403', 'Maximum (ns)': '17213', 'StdDev (ns)': '4974.9', 'Name': 'cuInit'}, {'Time(%)': '0.0', 'Total Time (ns)': '66606', 'Num Calls': '40', 'Average (ns)': '1665.2', 'Minimum (ns)': '261', 'Maximum (ns)': '15759', 'StdDev (ns)': '3344.8', 'Name': 'cuEventDestroy_v2'}, {'Time(%)': '0.0', 'Total Time (ns)': '60554', 'Num Calls': '72', 'Average (ns)': '841.0', 'Minimum (ns)': '531', 'Maximum (ns)': '3247', 'StdDev (ns)': '579.1', 'Name': 'cudaEventCreateWithFlags'}]",,,,
1,AEFoam_8gpu_1node_4rank,NvidiaGpuTrace,0,1000,summary statistics,['gpu_kernel_summary'],3853.830914,,"[{'Time(%)': '18.6', 'Total Time (ns)': '6666471962', 'Instances': '161936', 'Average (ns)': '41167.3', 'Minimum (ns)': '5376', 'Maximum (ns)': '538553', 'StdDev (ns)': '90692.3', 'Name': 'void tensorflow::functor::ApplyAdamKernel<float>(int, T1 *, T1 *, T1 *, const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, const T1 *, bool)'}, {'Time(%)': '12.4', 'Total Time (ns)': '4456396647', 'Instances': '310124', 'Average (ns)': '14369.7', 'Minimum (ns)': '4224', 'Maximum (ns)': '369659', 'StdDev (ns)': '34827.5', 'Name': 'Mul_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '7.6', 'Total Time (ns)': '2734933223', 'Instances': '20242', 'Average (ns)': '135111.8', 'Minimum (ns)': '64512', 'Maximum (ns)': '431741', 'StdDev (ns)': '66230.1', 'Name': 'ampere_sgemm_128x32_nn'}, {'Time(%)': '6.5', 'Total Time (ns)': '2340985714', 'Instances': '179632', 'Average (ns)': '13032.1', 'Minimum (ns)': '4384', 'Maximum (ns)': '348350', 'StdDev (ns)': '29945.9', 'Name': 'void tensorflow::BiasNHWCKernel<float>(int, const T1 *, const T1 *, T1 *, int)'}, {'Time(%)': '5.2', 'Total Time (ns)': '1868598377', 'Instances': '20242', 'Average (ns)': '92312.9', 'Minimum (ns)': '12992', 'Maximum (ns)': '373883', 'StdDev (ns)': '79659.7', 'Name': 'SquaredDifference_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '4.8', 'Total Time (ns)': '1707747419', 'Instances': '10313', 'Average (ns)': '165591.7', 'Minimum (ns)': '4448', 'Maximum (ns)': '362236', 'StdDev (ns)': '34376.7', 'Name': 'Sub_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '4.2', 'Total Time (ns)': '1498021558', 'Instances': '10121', 'Average (ns)': '148011.2', 'Minimum (ns)': '128511', 'Maximum (ns)': '356347', 'StdDev (ns)': '23840.6', 'Name': 'Div_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '3.6', 'Total Time (ns)': '1307180827', 'Instances': '10121', 'Average (ns)': '129155.3', 'Minimum (ns)': '111967', 'Maximum (ns)': '339292', 'StdDev (ns)': '21067.5', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x256_16x4_nt_align1>(T1::Params)'}, {'Time(%)': '3.6', 'Total Time (ns)': '1306600370', 'Instances': '10121', 'Average (ns)': '129098.0', 'Minimum (ns)': '111199', 'Maximum (ns)': '338939', 'StdDev (ns)': '18998.1', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align1>(T1::Params)'}, {'Time(%)': '3.6', 'Total Time (ns)': '1279765519', 'Instances': '10121', 'Average (ns)': '126446.5', 'Minimum (ns)': '108575', 'Maximum (ns)': '321435', 'StdDev (ns)': '22140.8', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_256x64_16x4_nt_align1>(T1::Params)'}, {'Time(%)': '3.3', 'Total Time (ns)': '1173345584', 'Instances': '10121', 'Average (ns)': '115931.8', 'Minimum (ns)': '100671', 'Maximum (ns)': '327548', 'StdDev (ns)': '18441.9', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align1>(T1::Params)'}, {'Time(%)': '3.2', 'Total Time (ns)': '1150642363', 'Instances': '20242', 'Average (ns)': '56844.3', 'Minimum (ns)': '27296', 'Maximum (ns)': '251006', 'StdDev (ns)': '26458.4', 'Name': 'void cub::DeviceSegmentedReduceKernel<cub::DeviceReducePolicy<float, float, int, tensorflow::functor::Sum<float>>::Policy600, float *, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, cub::TransformInputIterator<int, tensorflow::functor::RowOffset, cub::CountingInputIterator<int, long>, long>, int, tensorflow::functor::Sum<float>, float>(T2, T3, T4, T4, int, T6, T7)'}, {'Time(%)': '2.9', 'Total Time (ns)': '1030839308', 'Instances': '111331', 'Average (ns)': '9259.2', 'Minimum (ns)': '7841', 'Maximum (ns)': '206015', 'StdDev (ns)': '3311.4', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align1>(T1::Params)'}, {'Time(%)': '2.2', 'Total Time (ns)': '784717029', 'Instances': '10121', 'Average (ns)': '77533.5', 'Minimum (ns)': '55999', 'Maximum (ns)': '255583', 'StdDev (ns)': '10192.5', 'Name': 'void tensorflow::functor::ColumnReduceSimpleKernel<const float *, float *, cub::Sum>(T1, T2, int, int, int, T3)'}, {'Time(%)': '2.1', 'Total Time (ns)': '737267130', 'Instances': '10121', 'Average (ns)': '72845.3', 'Minimum (ns)': '62303', 'Maximum (ns)': '271901', 'StdDev (ns)': '12394.3', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_32x6_nn_align1>(T1::Params)'}, {'Time(%)': '1.9', 'Total Time (ns)': '666939306', 'Instances': '134724', 'Average (ns)': '4950.4', 'Minimum (ns)': '4288', 'Maximum (ns)': '203357', 'StdDev (ns)': '1897.1', 'Name': 'Sigmoid_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '1.6', 'Total Time (ns)': '565873814', 'Instances': '50605', 'Average (ns)': '11182.2', 'Minimum (ns)': '9824', 'Maximum (ns)': '200414', 'StdDev (ns)': '2373.6', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_nt_align1>(T1::Params)'}, {'Time(%)': '1.5', 'Total Time (ns)': '548392046', 'Instances': '10121', 'Average (ns)': '54183.6', 'Minimum (ns)': '45024', 'Maximum (ns)': '249375', 'StdDev (ns)': '9161.8', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorBroadcastingOp<const Eigen::array<int, (unsigned long)2>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)2, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)'}, {'Time(%)': '1.2', 'Total Time (ns)': '448846161', 'Instances': '60730', 'Average (ns)': '7390.8', 'Minimum (ns)': '5759', 'Maximum (ns)': '202431', 'StdDev (ns)': '2097.6', 'Name': 'void tensorflow::BiasGradNHWC_SharedAtomics<float>(int, const T1 *, T1 *, int)'}, {'Time(%)': '1.2', 'Total Time (ns)': '413732884', 'Instances': '40484', 'Average (ns)': '10219.7', 'Minimum (ns)': '8351', 'Maximum (ns)': '209693', 'StdDev (ns)': '2937.1', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align1>(T1::Params)'}, {'Time(%)': '1.1', 'Total Time (ns)': '390482413', 'Instances': '32575', 'Average (ns)': '11987.2', 'Minimum (ns)': '6784', 'Maximum (ns)': '201758', 'StdDev (ns)': '1958.0', 'Name': 'void splitKreduce_kernel<float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *, const T4 *, const T1 *, T4 *, void *, long, T3 *, int *)'}, {'Time(%)': '1.0', 'Total Time (ns)': '359295526', 'Instances': '60726', 'Average (ns)': '5916.7', 'Minimum (ns)': '4896', 'Maximum (ns)': '196542', 'StdDev (ns)': '2085.9', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sigmoid_gradient_op<float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)'}, {'Time(%)': '0.9', 'Total Time (ns)': '340712025', 'Instances': '60726', 'Average (ns)': '5610.6', 'Minimum (ns)': '4864', 'Maximum (ns)': '202430', 'StdDev (ns)': '1595.9', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<const float, const float>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)'}, {'Time(%)': '0.7', 'Total Time (ns)': '256653195', 'Instances': '50605', 'Average (ns)': '5071.7', 'Minimum (ns)': '4191', 'Maximum (ns)': '198942', 'StdDev (ns)': '2260.7', 'Name': 'DivNoNan_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '0.7', 'Total Time (ns)': '245427118', 'Instances': '50605', 'Average (ns)': '4849.9', 'Minimum (ns)': '3968', 'Maximum (ns)': '197342', 'StdDev (ns)': '2241.8', 'Name': 'Cast_GPU_DT_INT32_DT_FLOAT_kernel'}, {'Time(%)': '0.6', 'Total Time (ns)': '214908625', 'Instances': '40484', 'Average (ns)': '5308.5', 'Minimum (ns)': '4640', 'Maximum (ns)': '194334', 'StdDev (ns)': '2284.7', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<const float, const float>, const Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)'}, {'Time(%)': '0.5', 'Total Time (ns)': '161873278', 'Instances': '30363', 'Average (ns)': '5331.3', 'Minimum (ns)': '4416', 'Maximum (ns)': '201183', 'StdDev (ns)': '1942.8', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sum_op<const long, const long>, const Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>, const Eigen::TensorMap<Eigen::Tensor<const long, (int)1, (int)1, long>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, long>(T1, T2)'}, {'Time(%)': '0.4', 'Total Time (ns)': '134844557', 'Instances': '2212', 'Average (ns)': '60960.5', 'Minimum (ns)': '51168', 'Maximum (ns)': '238141', 'StdDev (ns)': '8861.0', 'Name': 'std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, float, float, float, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)9, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T12)'}, {'Time(%)': '0.3', 'Total Time (ns)': '114337715', 'Instances': '10121', 'Average (ns)': '11297.1', 'Minimum (ns)': '10752', 'Maximum (ns)': '199869', 'StdDev (ns)': '3181.2', 'Name': 'ampere_sgemm_32x32_sliced1x4_nt'}, {'Time(%)': '0.3', 'Total Time (ns)': '110444147', 'Instances': '20242', 'Average (ns)': '5456.2', 'Minimum (ns)': '4320', 'Maximum (ns)': '186783', 'StdDev (ns)': '1348.0', 'Name': 'void tensorflow::functor::BlockReduceKernel<float *, float *, (int)256, tensorflow::functor::Sum<float>>(T1, T2, int, T4, std::iterator_traits<T1>::value_type)'}, {'Time(%)': '0.3', 'Total Time (ns)': '108259640', 'Instances': '20242', 'Average (ns)': '5348.3', 'Minimum (ns)': '4575', 'Maximum (ns)': '197119', 'StdDev (ns)': '2603.6', 'Name': 'Pow_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '0.3', 'Total Time (ns)': '104443718', 'Instances': '10121', 'Average (ns)': '10319.5', 'Minimum (ns)': '10079', 'Maximum (ns)': '196766', 'StdDev (ns)': '1866.4', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x10_nn_align1>(T1::Params)'}, {'Time(%)': '0.3', 'Total Time (ns)': '103998003', 'Instances': '10121', 'Average (ns)': '10275.5', 'Minimum (ns)': '9888', 'Maximum (ns)': '192671', 'StdDev (ns)': '1824.6', 'Name': 'void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_64x64_16x10_tn_align1>(T1::Params)'}, {'Time(%)': '0.3', 'Total Time (ns)': '100024499', 'Instances': '10121', 'Average (ns)': '9882.9', 'Minimum (ns)': '9535', 'Maximum (ns)': '11936', 'StdDev (ns)': '152.7', 'Name': 'ampere_sgemm_32x32_sliced1x4_tn'}, {'Time(%)': '0.3', 'Total Time (ns)': '96867286', 'Instances': '2212', 'Average (ns)': '43791.7', 'Minimum (ns)': '36640', 'Maximum (ns)': '56735', 'StdDev (ns)': '5073.7', 'Name': 'void gemv2N_kernel<int, int, float, float, float, float, (int)128, (int)1, (int)2, (int)4, (int)1, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13)'}, {'Time(%)': '0.2', 'Total Time (ns)': '87582306', 'Instances': '10121', 'Average (ns)': '8653.5', 'Minimum (ns)': '7968', 'Maximum (ns)': '196094', 'StdDev (ns)': '2626.5', 'Name': '_ZN10tensorflow91_GLOBAL__N__59_tmpxft_0016a35b_00000000_7_dynamic_stitch_op_gpu_cu_cpp1_ii_5cb0e191_148365119DynamicStitchKernelIiEEviiNS_20GpuDeviceArrayStructIiLi8EEENS2_IPKT_Li8EEEPS4_'}, {'Time(%)': '0.2', 'Total Time (ns)': '83061059', 'Instances': '13272', 'Average (ns)': '6258.4', 'Minimum (ns)': '5024', 'Maximum (ns)': '186366', 'StdDev (ns)': '1621.8', 'Name': 'void gemvNSP_kernel<float, float, float, float, (int)1, (int)32, (int)4, (int)1024, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T9)'}, {'Time(%)': '0.2', 'Total Time (ns)': '57743609', 'Instances': '10121', 'Average (ns)': '5705.3', 'Minimum (ns)': '5152', 'Maximum (ns)': '192767', 'StdDev (ns)': '2616.5', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorBroadcastingOp<const Eigen::array<int, (unsigned long)1>, const Eigen::TensorMap<Eigen::Tensor<const float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)'}, {'Time(%)': '0.2', 'Total Time (ns)': '56615143', 'Instances': '10125', 'Average (ns)': '5591.6', 'Minimum (ns)': '5025', 'Maximum (ns)': '191517', 'StdDev (ns)': '1859.8', 'Name': 'void tensorflow::functor::ColumnReduceMax16ColumnsKernel<const float *, float *, cub::Sum>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)'}, {'Time(%)': '0.1', 'Total Time (ns)': '50728313', 'Instances': '10121', 'Average (ns)': '5012.2', 'Minimum (ns)': '4480', 'Maximum (ns)': '188127', 'StdDev (ns)': '1842.4', 'Name': 'AddV2_GPU_DT_INT64_DT_INT64_kernel'}, {'Time(%)': '0.1', 'Total Time (ns)': '47643792', 'Instances': '10121', 'Average (ns)': '4707.4', 'Minimum (ns)': '4064', 'Maximum (ns)': '8288', 'StdDev (ns)': '386.9', 'Name': 'Cast_GPU_DT_INT64_DT_FLOAT_kernel'}, {'Time(%)': '0.0', 'Total Time (ns)': '8189185', 'Instances': '1008', 'Average (ns)': '8124.2', 'Minimum (ns)': '4543', 'Maximum (ns)': '45760', 'StdDev (ns)': '9190.1', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<float>, const Eigen::TensorMap<Eigen::Tensor<float, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)'}, {'Time(%)': '0.0', 'Total Time (ns)': '3977559', 'Instances': '192', 'Average (ns)': '20716.5', 'Minimum (ns)': '4320', 'Maximum (ns)': '79615', 'StdDev (ns)': '27516.3', 'Name': 'AddV2_GPU_DT_FLOAT_DT_FLOAT_kernel'}, {'Time(%)': '0.0', 'Total Time (ns)': '2742304', 'Instances': '192', 'Average (ns)': '14282.8', 'Minimum (ns)': '5280', 'Maximum (ns)': '45568', 'StdDev (ns)': '14757.8', 'Name': 'void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(const unsigned long *, const unsigned long *, tensorflow::random::PhiloxRandom, T1::ResultElementType *, long, T1)'}, {'Time(%)': '0.0', 'Total Time (ns)': '580251', 'Instances': '4', 'Average (ns)': '145062.8', 'Minimum (ns)': '123743', 'Maximum (ns)': '166335', 'StdDev (ns)': '23889.5', 'Name': 'void tensorflow::BiasGradNHWC_Naive<float>(int, const T1 *, T1 *, int)'}, {'Time(%)': '0.0', 'Total Time (ns)': '124062', 'Instances': '24', 'Average (ns)': '5169.3', 'Minimum (ns)': '4928', 'Maximum (ns)': '5472', 'StdDev (ns)': '118.6', 'Name': 'void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<const Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>, const Eigen::TensorCwiseNullaryOp<Eigen::internal::scalar_const_op<long>, const Eigen::TensorMap<Eigen::Tensor<long, (int)1, (int)1, int>, (int)16, Eigen::MakePointer>>>, Eigen::GpuDevice>, int>(T1, T2)'}, {'Time(%)': '0.0', 'Total Time (ns)': '44704', 'Instances': '8', 'Average (ns)': '5588.0', 'Minimum (ns)': '5248', 'Maximum (ns)': '5696', 'StdDev (ns)': '154.8', 'Name': 'void tensorflow::functor::ColumnReduceKernel<const float *, float *, cub::Sum>(T1, T2, int, int, T3, std::iterator_traits<T1>::value_type)'}, {'Time(%)': '0.0', 'Total Time (ns)': '44384', 'Instances': '8', 'Average (ns)': '5548.0', 'Minimum (ns)': '5184', 'Maximum (ns)': '5728', 'StdDev (ns)': '162.2', 'Name': 'void tensorflow::functor::CleanupSegments<float *, float *, cub::Sum>(T1, T2, int, int, int, T3, std::iterator_traits<T1>::value_type)'}]",,,
2,AEFoam_8gpu_1node_4rank,NvidiaGpuTrace,0,1000,summary statistics,['gpu_mem_size_summary'],3853.830914,,,"[{'Total (MB)': '1686269.927', 'Count': '156867', 'Average (MB)': '10.750', 'Minimum (MB)': '0.000', 'Maximum (MB)': '90.389', 'StdDev (MB)': '25.143', 'Operation': '[CUDA memcpy HtoD]'}, {'Total (MB)': '540197.450', 'Count': '179351', 'Average (MB)': '3.012', 'Minimum (MB)': '0.000', 'Maximum (MB)': '90.389', 'StdDev (MB)': '10.761', 'Operation': '[CUDA memcpy DtoH]'}, {'Total (MB)': '8483.228', 'Count': '80972', 'Average (MB)': '0.105', 'Minimum (MB)': '0.000', 'Maximum (MB)': '1.016', 'StdDev (MB)': '0.281', 'Operation': '[CUDA memset]'}, {'Total (MB)': '0.081', 'Count': '10145', 'Average (MB)': '0.000', 'Minimum (MB)': '0.000', 'Maximum (MB)': '0.000', 'StdDev (MB)': '0.000', 'Operation': '[CUDA memcpy DtoD]'}]",,
